2Kgs.55	103149	104856
2Kgs.56	104857	105234
2Kgs.57	105235	105507
2Kgs.58	105508	106192
2Kgs.59	106193	106352
2Sam.1	106353	107042
2Sam.2	107043	107230
2Sam.3	107231	107285
2Sam.4	107286	107999
2Sam.5	108000	108736
2Sam.6	108737	108799
2Sam.7	108800	108946
2Sam.8	108947	108997
2Sam.9	108998	109408
2Sam.10	109409	109511
2Sam.11	109512	109680
2Sam.12	109681	109784
2Sam.13	109785	109918
2Sam.14	109919	110002
2Sam.15	110003	110623
2Sam.16	110624	111394
2Sam.17	111395	111831
2Sam.18	111832	112184
2Sam.19	112185	112700
2Sam.20	112701	113475
2Sam.21	113476	114202
2Sam.22	114203	114369
2Sam.23	114370	114979
2Sam.24	114980	115310
2Sam.25	115311	115660
2Sam.26	115661	115950
2Sam.27	115951	116165
2Sam.28	116166	116277
2Sam.29	116278	116358
2Sam.30	116359	116478
2Sam.31	116479	116650
2Sam.32	116651	116721
2Sam.33	116722	117938
2Sam.34	117939	118071
2Sam.35	118072	118555
2Sam.36	118556	121007
2Sam.37	121008	122059
2Sam.38	122060	122709
2Sam.39	122710	122806
2Sam.40	122807	122837
2Sam.41	122838	122942
2Sam.42	122943	123587
2Sam.43	123588	123721
2Sam.44	123722	124356
2Sam.45	124357	124672
2Sam.46	124673	124918
Amos.1	124919	125201
Amos.2	125202	125267
Amos.3	125268	125326
Amos.4	125327	125365
Amos.5	125366	125410
Amos.6	125411	125471
Amos.7	125472	125533
Amos.8	125534	125580
Amos.9	125581	125819
Amos.10	125820	126021
Amos.11	126022	126981
Amos.12	126982	127110
Amos.13	127111	127451
Amos.14	127452	127716
Amos.15	127717	128320
Dan.1	128321	128932
Dan.2	128933	129257
Dan.3	129258	129327
Dan.4	129328	129640
Dan.5	129641	130143
Dan.6	130144	130247
Dan.7	130248	130888
Dan.8	130889	131150
Dan.9	131151	131890
Dan.10	131891	132177
Dan.11	132178	132536
Dan.12	132537	132665
Dan.13	132666	133040
Dan.14	133041	133900
Dan.15	133901	134314
Dan.16	134315	134661
Dan.17	134662	135354
Dan.18	135355	136144
Dan.19	136145	136218
Dan.20	136219	136711
Dan.21	136712	137881
Dan.22	137882	138014
Deut.1	138015	140840
Deut.2	140841	141485
Deut.3	141486	141961
Deut.4	141962	142167
Deut.5	142168	143037
Deut.6	143038	143818
Deut.7	143819	144213
Deut.8	144214	144644
Deut.9	144645	144692
