Lemma	Count in book	Count in Hebrew Bible	Gloss
צֹ֫עַר	1	10	Zoar|insignificance
עֶגְלַת	1	2	third Eglath
מַעֲלֶה	1	18	ascent
לוּחִית	1	3	
חֹרוֹנַיִם	1	4	two hollows|caves|ravines
נִמְרִים	1	2	
מְשַׁמָּה	1	7	
חָצִיר	1	2	green grass|herbage
יֶ֫רֶק	1	6	green|greenness
יִתְרָה	1	2	abundance|riches
אֶגְלַ֫יִם	1	1	
??	1	1	??
בְּאֵר	1	1	well|pit
עוֹף	1	71	flying creatures|fowls|insects
אָרְנוֹן	1	25	Arnon
פְּלִילָה	1	1	office of judge|umpire
הָוָה	1	5	become
מֵץ	1	1	squeezer|extortioner|oppressor
מָהִיר	1	4	quick|prompt|ready|skilled
גֵּא	1	1	proud
כֵּן	1	22	right|veritable|honest
אֲשִׁישָׁה	1	1	raisin-cake
נָכָא	1	1	stricken
שָׂרֹק	1	1	vine-tendrils|clusters|red
שְׁלּוּחָה	1	1	shoot|branch
גִּיל	1	10	rejoicing
מְעִי	1	1	ruin-heap
מַפָּלָה	1	1	ruin
עֲרֹעֵר	1	16	
רָזָה	1	2	be|grow lean
רְפָאִים	1	19	
גַּרְגַּר	1	1	berry
חֹ֫רֶשׁ	1	7	wood|wooded height
נַעֲמָן	1	1	pleasantness
זְמוֹרָה	1	5	branch|twig|shoot
סוּג	1	1	fence about
נֵד	1	6	heap
אָנַשׁ	1	9	be weak|sick
עֶ֫רֶב	1	134	set|evening
בַּלָּהָה	1	10	terror|dreadful event|calamity|destruction
צִלְצָל	1	1	whirring|buzzing
בֹ֫סֶר	1	4	unripe|sour grapes
נִצָּה	1	2	blossom|shining
זַלְזַל	1	1	tendrils|tendrils
נְטִישָׁה	1	3	twig|tendril|spreading
תָּזַז	1	1	strike away
קיץ	1	1	summer
חָרַף	1	1	remain in harvest time
שַׁי	1	3	gift
אִטִּי	1	1	mutterer|mutterers
סָכַר	1	3	shut up|stop up
זָנַח	1	1	stink|emit stench
סוּף	1	28	reeds|rushes
עָרָה	1	1	bare place
מִזְרָע	1	1	place of sowing|seed-land
דַּיָּג	1	2	fisher|fisherman
חַכָּה	1	3	hook|fish-hook
מִכְמֹ֫רֶת	1	1	
פֵּ֫שֶׁת	1	16	flax|linen
שָׂרִיק	1	1	carded|combed
חוֹרָ֑י	1	1	white stuff
שָׁת	1	2	foundation|stay
שֶׂ֫כֶר	1	2	hire|wages
אָגֵם	1	1	sad
בָּעַר	1	9	be brutish
יָאַל	1	4	be foolish
מֹף	1	7	Memphis
עִוְעִים	1	1	distorting|warping
חָגָּא	1	1	reeling
הֶ֫רֶס	1	1	overthrow|destruction
מַצֵּבָה	1	32	pillar|maṣṣēbā|stump
אֵ֫צֶל	1	61	conjunction|proximity
לָחַץ	1	19	squeeze|press|oppress
נָדַר	1	31	vow
נֶ֫דֶר	1	60	vow
עָתַר	1	20	pray|supplicate
תַּרְתָּן	1	2	field-marshal
סַרְגֿוֹן	1	1	Sargon
חָלַץ	1	23	draw off|out|withdraw
שֵׁת	1	2	seat|buttocks
חַלְחָלָה	1	4	anguish
פַּלָּצוּת	1	4	shuddering
בָּעַת	1	16	fall upon|startle|terrify
חֵ֫שֶׁק	1	4	desire
