1Chr.1 1Chr.1.1 1Chr.1.42
2Chr.30 2Chr.17.1 2Chr.17.6
2Chr.31 2Chr.17.7 2Chr.17.11
2Chr.32 2Chr.17.12 2Chr.17.19
2Chr.33 2Chr.18.1 2Chr.18.27
2Chr.34 2Chr.18.28 2Chr.19.11
2Chr.35 2Chr.20.1 2Chr.20.13
2Chr.36 2Chr.20.14 2Chr.20.30
2Chr.37 2Chr.20.31 2Chr.21.3
2Chr.38 2Chr.21.4 2Chr.21.11
2Chr.39 2Chr.21.12 2Chr.22.1
2Chr.40 2Chr.22.2 2Chr.22.12
2Chr.41 2Chr.23.1 2Chr.23.15
2Chr.42 2Chr.23.16 2Chr.24.14
2Chr.43 2Chr.24.15 2Chr.24.22
2Chr.44 2Chr.24.23 2Chr.24.27
2Chr.45 2Chr.25.1 2Chr.25.4
2Chr.46 2Chr.25.5 2Chr.25.10
2Chr.47 2Chr.25.11 2Chr.25.16
2Chr.48 2Chr.25.17 2Chr.25.24
2Chr.49 2Chr.25.25 2Chr.26.2
2Chr.50 2Chr.26.3 2Chr.26.23
2Chr.51 2Chr.27.1 2Chr.27.9
2Chr.52 2Chr.28.1 2Chr.28.15
2Chr.53 2Chr.28.16 2Chr.28.27
2Chr.54 2Chr.29.1 2Chr.29.30
2Chr.55 2Chr.29.31 2Chr.29.36
2Chr.56 2Chr.30.1 2Chr.30.9
2Chr.57 2Chr.30.10 2Chr.30.27
2Chr.58 2Chr.31.1 2Chr.31.8
2Chr.59 2Chr.31.9 2Chr.31.21
2Chr.60 2Chr.32.1 2Chr.32.8
2Chr.61 2Chr.32.9 2Chr.32.20
2Chr.62 2Chr.32.21 2Chr.32.33
2Chr.63 2Chr.33.1 2Chr.33.9
2Chr.64 2Chr.33.10 2Chr.33.20
2Chr.65 2Chr.33.21 2Chr.33.25
2Chr.66 2Chr.34.1 2Chr.34.21
2Chr.67 2Chr.34.22 2Chr.34.28
2Chr.68 2Chr.34.29 2Chr.34.33
2Chr.69 2Chr.35.1 2Chr.35.6
2Chr.70 2Chr.35.7 2Chr.35.24
2Chr.71 2Chr.35.25 2Chr.36.4
2Chr.72 2Chr.36.5 2Chr.36.8
2Chr.73 2Chr.36.9 2Chr.36.10
2Chr.74 2Chr.36.11 2Chr.36.21
2Kgs.1 2Chr.36.22 2Kgs.1.17
2Kgs.2 2Kgs.1.17 2Kgs.1.18
2Kgs.3 2Kgs.2.1 2Kgs.2.22
2Kgs.4 2Kgs.2.23 2Kgs.2.25
2Kgs.5 2Kgs.3.1 2Kgs.3.27
2Kgs.6 2Kgs.4.1 2Kgs.4.7
2Kgs.7 2Kgs.4.8 2Kgs.4.37
2Kgs.8 2Kgs.4.38 2Kgs.4.44
2Kgs.9 2Kgs.5.1 2Kgs.6.7
2Kgs.10 2Kgs.6.8 2Kgs.6.23
2Kgs.11 2Kgs.6.24 2Kgs.8.6
2Kgs.12 2Kgs.8.7 2Kgs.8.15
2Kgs.13 2Kgs.8.16 2Kgs.8.24
2Kgs.14 2Kgs.8.25 2Kgs.8.29
2Kgs.15 2Kgs.9.1 2Kgs.9.28
2Kgs.16 2Kgs.9.29 2Kgs.9.37
2Kgs.17 2Kgs.10.1 2Kgs.10.17
2Kgs.18 2Kgs.10.18 2Kgs.10.36
2Kgs.19 2Kgs.11.1 2Kgs.11.3
2Kgs.20 2Kgs.11.4 2Kgs.12.1
2Kgs.21 2Kgs.12.2 2Kgs.12.6
2Kgs.22 2Kgs.12.7 2Kgs.12.17
2Kgs.23 2Kgs.12.18 2Kgs.12.22
2Kgs.24 2Kgs.13.1 2Kgs.13.9
2Kgs.25 2Kgs.13.10 2Kgs.13.13
2Kgs.26 2Kgs.13.14 2Kgs.13.21
2Kgs.27 2Kgs.13.22 2Kgs.13.25
2Kgs.28 2Kgs.14.1 2Kgs.14.7
2Kgs.29 2Kgs.14.8 2Kgs.14.16
2Kgs.30 2Kgs.14.17 2Kgs.14.22
2Kgs.31 2Kgs.14.23 2Kgs.14.29
2Kgs.32 2Kgs.15.1 2Kgs.15.7
2Kgs.33 2Kgs.15.8 2Kgs.15.12
2Kgs.34 2Kgs.15.13 2Kgs.15.16
2Kgs.35 2Kgs.15.17 2Kgs.15.22
2Kgs.36 2Kgs.15.23 2Kgs.15.26
2Kgs.37 2Kgs.15.27 2Kgs.15.31
2Kgs.38 2Kgs.15.32 2Kgs.15.38
2Kgs.39 2Kgs.16.1 2Kgs.16.6
2Kgs.40 2Kgs.16.7 2Kgs.16.20
2Kgs.41 2Kgs.17.1 2Kgs.17.6
2Kgs.42 2Kgs.17.7 2Kgs.17.23
2Kgs.43 2Kgs.17.24 2Kgs.17.41
2Kgs.44 2Kgs.18.1 2Kgs.18.8
2Kgs.45 2Kgs.18.9 2Kgs.18.12
2Kgs.46 2Kgs.18.13 2Kgs.18.16
2Kgs.47 2Kgs.18.17 2Kgs.19.14
2Kgs.48 2Kgs.19.15 2Kgs.19.37
2Kgs.49 2Kgs.20.1 2Kgs.20.11
2Kgs.50 2Kgs.20.12 2Kgs.20.21
2Kgs.51 2Kgs.21.1 2Kgs.21.11
2Kgs.52 2Kgs.21.12 2Kgs.21.18
2Kgs.53 2Kgs.21.19 2Kgs.21.26
2Kgs.54 2Kgs.22.1 2Kgs.22.2
2Kgs.55 2Kgs.22.3 2Kgs.23.30
2Kgs.56 2Kgs.23.31 2Kgs.24.7
2Kgs.57 2Kgs.24.8 2Kgs.24.17
2Kgs.58 2Kgs.24.18 2Kgs.25.22
2Kgs.59 2Kgs.25.23 2Kgs.25.26
2Sam.1 2Kgs.25.27 2Sam.1.27
2Sam.2 2Sam.2.1 2Sam.2.7
2Sam.3 2Sam.2.8 2Sam.2.9
2Sam.4 2Sam.2.10 2Sam.3.5
2Sam.5 2Sam.3.6 2Sam.3.30
2Sam.6 2Sam.3.31 2Sam.3.32
2Sam.7 2Sam.3.33 2Sam.3.37
2Sam.8 2Sam.3.38 2Sam.3.39
2Sam.9 2Sam.4.1 2Sam.4.12
2Sam.10 2Sam.5.1 2Sam.5.3
2Sam.11 2Sam.5.4 2Sam.5.10
2Sam.12 2Sam.5.11 2Sam.5.16
2Sam.13 2Sam.5.17 2Sam.5.21
2Sam.14 2Sam.5.22 2Sam.5.25
2Sam.15 2Sam.6.1 2Sam.6.23
2Sam.16 2Sam.7.1 2Sam.7.29
2Sam.17 2Sam.8.1 2Sam.8.18
2Sam.18 2Sam.9.1 2Sam.9.13
2Sam.19 2Sam.10.1 2Sam.10.19
2Sam.20 2Sam.11.1 2Sam.11.27
2Sam.21 2Sam.12.1 2Sam.12.25
2Sam.22 2Sam.12.26 2Sam.12.31
2Sam.23 2Sam.13.1 2Sam.13.22
2Sam.24 2Sam.13.23 2Sam.13.33
2Sam.25 2Sam.13.34 2Sam.14.7
2Sam.26 2Sam.14.8 2Sam.14.17
2Sam.27 2Sam.14.18 2Sam.14.23
2Sam.28 2Sam.14.24 2Sam.14.27
2Sam.29 2Sam.14.28 2Sam.14.30
2Sam.30 2Sam.14.31 2Sam.14.33
2Sam.31 2Sam.15.1 2Sam.15.6
2Sam.32 2Sam.15.7 2Sam.15.9
2Sam.33 2Sam.15.10 2Sam.16.13
2Sam.34 2Sam.16.14 2Sam.16.19
2Sam.35 2Sam.16.20 2Sam.17.13
2Sam.36 2Sam.17.14 2Sam.19.29
2Sam.37 2Sam.19.30 2Sam.20.19
2Sam.38 2Sam.20.20 2Sam.21.14
2Sam.39 2Sam.21.15 2Sam.21.17
2Sam.40 2Sam.21.18 2Sam.21.18
2Sam.41 2Sam.21.19 2Sam.21.22
2Sam.42 2Sam.22.1 2Sam.22.51
2Sam.43 2Sam.23.1 2Sam.23.7
2Sam.44 2Sam.23.8 2Sam.23.39
2Sam.45 2Sam.24.1 2Sam.24.11
2Sam.46 2Sam.24.11 2Sam.24.17
Amos.1 2Sam.24.18 Amos.1.2
Amos.2 Amos.1.3 Amos.1.5
Amos.3 Amos.1.6 Amos.1.8
Amos.4 Amos.1.9 Amos.1.10
Amos.5 Amos.1.11 Amos.1.12
Amos.6 Amos.1.13 Amos.1.15
Amos.7 Amos.2.1 Amos.2.3
Amos.8 Amos.2.4 Amos.2.5
Amos.9 Amos.2.6 Amos.2.16
Amos.10 Amos.3.1 Amos.3.10
Amos.11 Amos.3.11 Amos.5.27
Amos.12 Amos.6.1 Amos.6.7
Amos.13 Amos.6.8 Amos.7.9
Amos.14 Amos.7.10 Amos.8.3
Amos.15 Amos.8.4 Amos.9.12
Dan.1 Amos.9.13 Dan.1.21
Dan.2 Dan.2.1 Dan.2.13
Dan.3 Dan.2.14 Dan.2.16
Dan.4 Dan.2.17 Dan.2.28
Dan.5 Dan.2.29 Dan.2.45
Dan.6 Dan.2.46 Dan.2.49
Dan.7 Dan.3.1 Dan.3.23
Dan.8 Dan.3.24 Dan.3.30
Dan.9 Dan.3.31 Dan.4.25
Dan.10 Dan.4.26 Dan.4.34
Dan.11 Dan.5.1 Dan.5.12
Dan.12 Dan.5.13 Dan.5.16
Dan.13 Dan.5.17 Dan.5.30
Dan.14 Dan.6.1 Dan.6.29
Dan.15 Dan.7.1 Dan.7.14
Dan.16 Dan.7.15 Dan.7.28
Dan.17 Dan.8.1 Dan.8.27
Dan.18 Dan.9.1 Dan.9.27
Dan.19 Dan.10.1 Dan.10.3
Dan.20 Dan.10.4 Dan.10.21
Dan.21 Dan.11.1 Dan.12.3
Dan.22 Dan.12.4 Dan.12.8
Deut.1 Dan.12.9 Deut.3.29
Deut.2 Deut.4.1 Deut.4.24
Deut.3 Deut.4.25 Deut.4.40
Deut.4 Deut.4.41 Deut.4.49
Deut.5 Deut.5.1 Deut.6.3
Deut.6 Deut.6.4 Deut.7.11
Deut.7 Deut.7.12 Deut.7.26
Deut.8 Deut.8.1 Deut.8.18
Deut.9 Deut.8.19 Deut.8.20
Deut.10 Deut.9.1 Deut.9.29
Deut.11 Deut.10.1 Deut.10.11
Deut.12 Deut.10.12 Deut.13.1
Deut.13 Deut.13.2 Deut.14.21
Deut.14 Deut.14.22 Deut.15.18
Deut.15 Deut.15.19 Deut.15.23
Deut.16 Deut.16.1 Deut.16.12
Deut.17 Deut.16.13 Deut.17.7
Deut.18 Deut.17.8 Deut.20.20
Deut.19 Deut.21.1 Deut.22.5
Deut.20 Deut.22.6 Deut.25.16
Deut.21 Deut.25.17 Deut.25.19
Deut.22 Deut.26.1 Deut.27.26
Deut.23 Deut.28.1 Deut.28.69
Deut.24 Deut.29.1 Deut.29.8
Deut.25 Deut.29.9 Deut.30.10
Deut.26 Deut.30.11 Deut.30.20
Deut.27 Deut.31.1 Deut.31.6
Deut.28 Deut.31.7 Deut.31.13
Deut.29 Deut.31.14 Deut.31.30
Deut.30 Deut.32.1 Deut.32.43
Deut.31 Deut.32.44 Deut.32.47
Deut.32 Deut.32.48 Deut.32.52
Eccl.1 Deut.33.1 Eccl.1.11
Esth.1 Eccl.1.12 Esth.1.22
Esth.2 Esth.2.1 Esth.2.23
Esth.3 Esth.3.1 Esth.3.15
Esth.4 Esth.4.1 Esth.4.12
Esth.5 Esth.4.13 Esth.5.14
Esth.6 Esth.6.1 Esth.7.10
Esth.7 Esth.8.1 Esth.8.2
Esth.8 Esth.8.3 Esth.8.14
Esth.9 Esth.8.15 Esth.9.4
Esth.10 Esth.9.5 Esth.9.19
Esth.11 Esth.9.20 Esth.9.32
Exod.1 Esth.10.1 Exod.1.7
Exod.2 Exod.1.8 Exod.2.22
Exod.3 Exod.2.23 Exod.4.17
Exod.4 Exod.4.18 Exod.4.26
Exod.5 Exod.4.27 Exod.6.9
Exod.6 Exod.6.10 Exod.6.12
Exod.7 Exod.6.13 Exod.6.28
Exod.8 Exod.6.29 Exod.6.30
Exod.9 Exod.7.1 Exod.7.7
Exod.10 Exod.7.8 Exod.7.13
Exod.11 Exod.7.14 Exod.7.25
Exod.12 Exod.7.26 Exod.8.28
Exod.13 Exod.9.1 Exod.9.7
Exod.14 Exod.9.8 Exod.9.21
Exod.15 Exod.9.22 Exod.9.35
Exod.16 Exod.10.1 Exod.10.11
Exod.17 Exod.10.12 Exod.10.20
Exod.18 Exod.10.21 Exod.10.29
Exod.19 Exod.11.1 Exod.11.10
Exod.20 Exod.12.1 Exod.12.20
Exod.21 Exod.12.21 Exod.12.36
Exod.22 Exod.12.37 Exod.12.42
Exod.23 Exod.12.43 Exod.12.51
Exod.24 Exod.13.1 Exod.13.22
Exod.25 Exod.14.1 Exod.14.14
Exod.26 Exod.14.15 Exod.14.25
Exod.27 Exod.14.26 Exod.14.31
Exod.28 Exod.15.1 Exod.15.19
Exod.29 Exod.15.20 Exod.16.10
Exod.30 Exod.16.11 Exod.16.36
Exod.31 Exod.17.1 Exod.17.7
Exod.32 Exod.17.8 Exod.17.13
Exod.33 Exod.17.14 Exod.17.16
Exod.34 Exod.18.1 Exod.18.27
Exod.35 Exod.19.1 Exod.20.7
Exod.36 Exod.20.8 Exod.20.17
Exod.37 Exod.20.18 Exod.20.21
Exod.38 Exod.20.22 Exod.20.26
Exod.39 Exod.21.1 Exod.21.27
Exod.40 Exod.21.28 Exod.22.12
Exod.41 Exod.22.13 Exod.22.23
Exod.42 Exod.22.24 Exod.23.33
Exod.43 Exod.24.1 Exod.24.18
Exod.44 Exod.25.1 Exod.25.22
Exod.45 Exod.25.23 Exod.25.30
Exod.46 Exod.25.31 Exod.26.6
Exod.47 Exod.26.7 Exod.26.14
Exod.48 Exod.26.15 Exod.28.5
Exod.49 Exod.28.6 Exod.29.46
Exod.50 Exod.30.1 Exod.30.10
Exod.51 Exod.30.11 Exod.30.16
Exod.52 Exod.30.17 Exod.30.21
Exod.53 Exod.30.22 Exod.31.11
Exod.54 Exod.31.12 Exod.32.6
Exod.55 Exod.32.7 Exod.32.14
Exod.56 Exod.32.15 Exod.33.16
Exod.57 Exod.33.17 Exod.34.26
Exod.58 Exod.34.27 Exod.35.3
Exod.59 Exod.35.4 Exod.35.29
Exod.60 Exod.35.30 Exod.36.38
Exod.61 Exod.37.1 Exod.37.9
Exod.62 Exod.37.10 Exod.37.16
Exod.63 Exod.37.17 Exod.37.24
Exod.64 Exod.37.25 Exod.37.29
Exod.65 Exod.38.1 Exod.39.1
Exod.66 Exod.39.2 Exod.39.7
Exod.67 Exod.39.8 Exod.39.32
Exod.68 Exod.39.33 Exod.39.43
Exod.69 Exod.40.1 Exod.40.27
Exod.70 Exod.40.28 Exod.40.33
Ezek.1 Exod.40.34 Ezek.2.2
Ezek.2 Ezek.2.3 Ezek.2.5
Ezek.3 Ezek.2.6 Ezek.2.7
Ezek.4 Ezek.2.8 Ezek.3.3
Ezek.5 Ezek.3.4 Ezek.3.9
Ezek.6 Ezek.3.10 Ezek.3.16
Ezek.7 Ezek.3.16 Ezek.4.17
Ezek.8 Ezek.5.1 Ezek.5.4
Ezek.9 Ezek.5.5 Ezek.5.10
Ezek.10 Ezek.5.11 Ezek.5.17
Ezek.11 Ezek.6.1 Ezek.6.10
Ezek.12 Ezek.6.11 Ezek.6.14
Ezek.13 Ezek.7.1 Ezek.7.4
Ezek.14 Ezek.7.5 Ezek.7.22
Ezek.15 Ezek.7.23 Ezek.7.27
Ezek.16 Ezek.8.1 Ezek.11.1
Ezek.17 Ezek.11.2 Ezek.11.6
Ezek.18 Ezek.11.7 Ezek.11.13
Ezek.19 Ezek.11.14 Ezek.11.25
Ezek.20 Ezek.12.1 Ezek.12.7
Ezek.21 Ezek.12.8 Ezek.12.16
Ezek.22 Ezek.12.17 Ezek.12.20
Ezek.23 Ezek.12.21 Ezek.12.25
Ezek.24 Ezek.12.26 Ezek.13.16
Ezek.25 Ezek.13.17 Ezek.14.1
Ezek.26 Ezek.14.2 Ezek.14.11
Ezek.27 Ezek.14.12 Ezek.14.20
Ezek.28 Ezek.14.21 Ezek.14.23
Ezek.29 Ezek.15.1 Ezek.15.8
Ezek.30 Ezek.16.1 Ezek.16.35
Ezek.31 Ezek.16.36 Ezek.17.10
Ezek.32 Ezek.17.11 Ezek.17.24
Ezek.33 Ezek.18.1 Ezek.18.32
Ezek.34 Ezek.19.1 Ezek.19.9
Ezek.35 Ezek.19.10 Ezek.19.14
Ezek.36 Ezek.20.1 Ezek.20.44
Ezek.37 Ezek.21.1 Ezek.21.5
Ezek.38 Ezek.21.6 Ezek.21.12
Ezek.39 Ezek.21.13 Ezek.21.18
Ezek.40 Ezek.21.19 Ezek.21.22
Ezek.41 Ezek.21.23 Ezek.21.28
Ezek.42 Ezek.21.29 Ezek.21.29
Ezek.43 Ezek.21.30 Ezek.21.32
Ezek.44 Ezek.21.33 Ezek.21.37
Ezek.45 Ezek.22.1 Ezek.22.16
Ezek.46 Ezek.22.17 Ezek.22.22
Ezek.47 Ezek.22.23 Ezek.22.31
Ezek.48 Ezek.23.1 Ezek.23.49
Ezek.49 Ezek.24.1 Ezek.24.8
